"model","rep","node","identity","blens","system"
"best","1","5","100",0.05,"SR"
"best","1","6","100",0.05,"SR"
"poisson","1","5","100",0.05,"SR"
"poisson","1","6","98.6842105263158",0.05,"SR"
"ER","1","5","100",0.05,"SR"
"ER","1","6","100",0.05,"SR"
"kSR","1","5","100",0.05,"SR"
"kSR","1","6","100",0.05,"SR"
"best","2","5","98.6842105263158",0.05,"SR"
"best","2","6","100",0.05,"SR"
"poisson","2","5","98.6842105263158",0.05,"SR"
"poisson","2","6","98.6842105263158",0.05,"SR"
"ER","2","5","100",0.05,"SR"
"ER","2","6","100",0.05,"SR"
"kSR","2","5","98.6842105263158",0.05,"SR"
"kSR","2","6","100",0.05,"SR"
"best","3","5","97.3684210526316",0.05,"SR"
"best","3","6","100",0.05,"SR"
"poisson","3","5","97.3684210526316",0.05,"SR"
"poisson","3","6","100",0.05,"SR"
"ER","3","5","97.3684210526316",0.05,"SR"
"ER","3","6","100",0.05,"SR"
"kSR","3","5","97.3684210526316",0.05,"SR"
"kSR","3","6","100",0.05,"SR"
"best","4","5","98.6842105263158",0.05,"SR"
"best","4","6","98.6842105263158",0.05,"SR"
"poisson","4","5","97.3684210526316",0.05,"SR"
"poisson","4","6","97.3684210526316",0.05,"SR"
"ER","4","5","97.3684210526316",0.05,"SR"
"ER","4","6","98.6842105263158",0.05,"SR"
"kSR","4","5","97.3684210526316",0.05,"SR"
"kSR","4","6","98.6842105263158",0.05,"SR"
"best","5","5","97.3684210526316",0.05,"SR"
"best","5","6","97.3684210526316",0.05,"SR"
"poisson","5","5","97.3684210526316",0.05,"SR"
"poisson","5","6","97.3684210526316",0.05,"SR"
"ER","5","5","98.6842105263158",0.05,"SR"
"ER","5","6","98.6842105263158",0.05,"SR"
"kSR","5","5","98.6842105263158",0.05,"SR"
"kSR","5","6","98.6842105263158",0.05,"SR"
"best","6","5","100",0.05,"SR"
"best","6","6","98.6842105263158",0.05,"SR"
"poisson","6","5","100",0.05,"SR"
"poisson","6","6","98.6842105263158",0.05,"SR"
"ER","6","5","100",0.05,"SR"
"ER","6","6","98.6842105263158",0.05,"SR"
"kSR","6","5","100",0.05,"SR"
"kSR","6","6","98.6842105263158",0.05,"SR"
"best","7","5","97.3684210526316",0.05,"SR"
"best","7","6","98.6842105263158",0.05,"SR"
"poisson","7","5","97.3684210526316",0.05,"SR"
"poisson","7","6","98.6842105263158",0.05,"SR"
"ER","7","5","97.3684210526316",0.05,"SR"
"ER","7","6","98.6842105263158",0.05,"SR"
"kSR","7","5","97.3684210526316",0.05,"SR"
"kSR","7","6","98.6842105263158",0.05,"SR"
"best","8","5","100",0.05,"SR"
"best","8","6","100",0.05,"SR"
"poisson","8","5","100",0.05,"SR"
"poisson","8","6","98.6842105263158",0.05,"SR"
"ER","8","5","100",0.05,"SR"
"ER","8","6","100",0.05,"SR"
"kSR","8","5","100",0.05,"SR"
"kSR","8","6","100",0.05,"SR"
"best","9","5","98.6842105263158",0.05,"SR"
"best","9","6","100",0.05,"SR"
"poisson","9","5","98.6842105263158",0.05,"SR"
"poisson","9","6","100",0.05,"SR"
"ER","9","5","100",0.05,"SR"
"ER","9","6","100",0.05,"SR"
"kSR","9","5","100",0.05,"SR"
"kSR","9","6","98.6842105263158",0.05,"SR"
"best","10","5","98.6842105263158",0.05,"SR"
"best","10","6","100",0.05,"SR"
"poisson","10","5","100",0.05,"SR"
"poisson","10","6","100",0.05,"SR"
"ER","10","5","98.6842105263158",0.05,"SR"
"ER","10","6","100",0.05,"SR"
"kSR","10","5","100",0.05,"SR"
"kSR","10","6","100",0.05,"SR"
"best","11","5","100",0.05,"SR"
"best","11","6","98.6842105263158",0.05,"SR"
"poisson","11","5","100",0.05,"SR"
"poisson","11","6","98.6842105263158",0.05,"SR"
"ER","11","5","100",0.05,"SR"
"ER","11","6","100",0.05,"SR"
"kSR","11","5","100",0.05,"SR"
"kSR","11","6","100",0.05,"SR"
"best","12","5","100",0.05,"SR"
"best","12","6","100",0.05,"SR"
"poisson","12","5","100",0.05,"SR"
"poisson","12","6","98.6842105263158",0.05,"SR"
"ER","12","5","100",0.05,"SR"
"ER","12","6","100",0.05,"SR"
"kSR","12","5","100",0.05,"SR"
"kSR","12","6","100",0.05,"SR"
"best","13","5","100",0.05,"SR"
"best","13","6","98.6842105263158",0.05,"SR"
"poisson","13","5","97.3684210526316",0.05,"SR"
"poisson","13","6","98.6842105263158",0.05,"SR"
"ER","13","5","100",0.05,"SR"
"ER","13","6","98.6842105263158",0.05,"SR"
"kSR","13","5","100",0.05,"SR"
"kSR","13","6","98.6842105263158",0.05,"SR"
"best","14","5","98.6842105263158",0.05,"SR"
"best","14","6","98.6842105263158",0.05,"SR"
"poisson","14","5","100",0.05,"SR"
"poisson","14","6","97.3684210526316",0.05,"SR"
"ER","14","5","98.6842105263158",0.05,"SR"
"ER","14","6","98.6842105263158",0.05,"SR"
"kSR","14","5","98.6842105263158",0.05,"SR"
"kSR","14","6","98.6842105263158",0.05,"SR"
"best","15","5","100",0.05,"SR"
"best","15","6","100",0.05,"SR"
"poisson","15","5","100",0.05,"SR"
"poisson","15","6","100",0.05,"SR"
"ER","15","5","100",0.05,"SR"
"ER","15","6","100",0.05,"SR"
"kSR","15","5","100",0.05,"SR"
"kSR","15","6","100",0.05,"SR"
"best","16","5","100",0.05,"SR"
"best","16","6","97.3684210526316",0.05,"SR"
"poisson","16","5","100",0.05,"SR"
"poisson","16","6","97.3684210526316",0.05,"SR"
"ER","16","5","100",0.05,"SR"
"ER","16","6","97.3684210526316",0.05,"SR"
"kSR","16","5","100",0.05,"SR"
"kSR","16","6","97.3684210526316",0.05,"SR"
"best","17","5","100",0.05,"SR"
"best","17","6","100",0.05,"SR"
"poisson","17","5","100",0.05,"SR"
"poisson","17","6","100",0.05,"SR"
"ER","17","5","100",0.05,"SR"
"ER","17","6","100",0.05,"SR"
"kSR","17","5","100",0.05,"SR"
"kSR","17","6","100",0.05,"SR"
"best","18","5","98.6842105263158",0.05,"SR"
"best","18","6","100",0.05,"SR"
"poisson","18","5","98.6842105263158",0.05,"SR"
"poisson","18","6","100",0.05,"SR"
"ER","18","5","97.3684210526316",0.05,"SR"
"ER","18","6","100",0.05,"SR"
"kSR","18","5","98.6842105263158",0.05,"SR"
"kSR","18","6","100",0.05,"SR"
