"bin_midpoint","model","prop_true","total_elements","prop_correct","blens","system"
0.025,"H1",769,98288,0.00782394595474524,0.1,"HA"
0.075,"H1",536,7325,0.0731740614334471,0.1,"HA"
0.125,"H1",299,2444,0.122340425531915,0.1,"HA"
0.175,"H1",193,1154,0.167244367417678,0.1,"HA"
0.225,"H1",177,752,0.235372340425532,0.1,"HA"
0.275,"H1",186,619,0.30048465266559,0.1,"HA"
0.325,"H1",211,643,0.328149300155521,0.1,"HA"
0.375,"H1",257,655,0.39236641221374,0.1,"HA"
0.425,"H1",276,636,0.433962264150943,0.1,"HA"
0.475,"H1",243,543,0.447513812154696,0.1,"HA"
0.525,"H1",270,493,0.547667342799189,0.1,"HA"
0.575,"H1",222,432,0.513888888888889,0.1,"HA"
0.625,"H1",244,362,0.674033149171271,0.1,"HA"
0.675,"H1",192,313,0.613418530351438,0.1,"HA"
0.725,"H1",273,405,0.674074074074074,0.1,"HA"
0.775,"H1",462,593,0.779089376053963,0.1,"HA"
0.825,"H1",789,954,0.827044025157233,0.1,"HA"
0.875,"H1",1943,2213,0.877993673746046,0.1,"HA"
0.925,"H1",5689,6136,0.927151238591917,0.1,"HA"
0.975,"H1",96731,97182,0.99535922290136,0.1,"HA"
0.025,"H3",953,78532,0.0121351805633372,0.1,"HA"
0.075,"H3",494,6010,0.0821963394342762,0.1,"HA"
0.125,"H3",206,1626,0.126691266912669,0.1,"HA"
0.175,"H3",169,879,0.19226393629124,0.1,"HA"
0.225,"H3",158,668,0.236526946107784,0.1,"HA"
0.275,"H3",209,654,0.319571865443425,0.1,"HA"
0.325,"H3",225,652,0.345092024539877,0.1,"HA"
0.375,"H3",223,669,0.333333333333333,0.1,"HA"
0.425,"H3",269,599,0.449081803005008,0.1,"HA"
0.475,"H3",304,567,0.536155202821869,0.1,"HA"
0.525,"H3",243,536,0.453358208955224,0.1,"HA"
0.575,"H3",196,394,0.49746192893401,0.1,"HA"
0.625,"H3",232,374,0.620320855614973,0.1,"HA"
0.675,"H3",215,323,0.665634674922601,0.1,"HA"
0.725,"H3",206,322,0.639751552795031,0.1,"HA"
0.775,"H3",294,401,0.733167082294264,0.1,"HA"
0.825,"H3",520,661,0.786686838124054,0.1,"HA"
0.875,"H3",1299,1499,0.866577718478986,0.1,"HA"
0.925,"H3",4567,5030,0.907952286282306,0.1,"HA"
0.975,"H3",98962,99585,0.99374403775669,0.1,"HA"
0.025,"best",977,89250,0.0109467787114846,0.1,"HA"
0.075,"best",462,6464,0.0714727722772277,0.1,"HA"
0.125,"best",277,2256,0.122783687943262,0.1,"HA"
0.175,"best",205,1183,0.173288250211327,0.1,"HA"
0.225,"best",210,865,0.242774566473988,0.1,"HA"
0.275,"best",205,680,0.301470588235294,0.1,"HA"
0.325,"best",188,573,0.328097731239092,0.1,"HA"
0.375,"best",199,546,0.364468864468864,0.1,"HA"
0.425,"best",226,550,0.410909090909091,0.1,"HA"
0.475,"best",243,536,0.453358208955224,0.1,"HA"
0.525,"best",263,521,0.504798464491363,0.1,"HA"
0.575,"best",271,505,0.536633663366337,0.1,"HA"
0.625,"best",299,489,0.611451942740286,0.1,"HA"
0.675,"best",279,476,0.586134453781513,0.1,"HA"
0.725,"best",362,518,0.698841698841699,0.1,"HA"
0.775,"best",495,647,0.765069551777434,0.1,"HA"
0.825,"best",663,805,0.82360248447205,0.1,"HA"
0.875,"best",1432,1654,0.865779927448609,0.1,"HA"
0.925,"best",4875,5267,0.925574330738561,0.1,"HA"
0.975,"best",97786,98394,0.993820761428542,0.1,"HA"
0.025,"poisson",1400,90061,0.0155450194867923,0.1,"HA"
0.075,"poisson",63,744,0.0846774193548387,0.1,"HA"
0.125,"poisson",150,1440,0.104166666666667,0.1,"HA"
0.175,"poisson",15,123,0.121951219512195,0.1,"HA"
0.225,"poisson",152,460,0.330434782608696,0.1,"HA"
0.275,"poisson",787,2529,0.311190193752471,0.1,"HA"
0.325,"poisson",1005,3061,0.328324077098987,0.1,"HA"
0.375,"poisson",656,1951,0.33623782675551,0.1,"HA"
0.425,"poisson",273,718,0.380222841225627,0.1,"HA"
0.475,"poisson",182,412,0.441747572815534,0.1,"HA"
0.525,"poisson",143,287,0.498257839721254,0.1,"HA"
0.575,"poisson",117,231,0.506493506493506,0.1,"HA"
0.625,"poisson",72,138,0.521739130434783,0.1,"HA"
0.675,"poisson",31,60,0.516666666666667,0.1,"HA"
0.725,"poisson",2,4,0.5,0.1,"HA"
0.775,"poisson",2,2,1,0.1,"HA"
0.875,"poisson",12,13,0.923076923076923,0.1,"HA"
0.925,"poisson",1118,1319,0.847611827141774,0.1,"HA"
0.975,"poisson",103513,104786,0.987851430534613,0.1,"HA"
