"model","rep","node","identity","blens","system"
"best","1","5","93.4545454545455",0.2,"HA"
"best","1","6","93.6363636363636",0.2,"HA"
"poisson","1","5","91.4545454545455",0.2,"HA"
"poisson","1","6","91.2727272727273",0.2,"HA"
"H1","1","5","93.8181818181818",0.2,"HA"
"H1","1","6","93.4545454545455",0.2,"HA"
"H3","1","5","93.4545454545455",0.2,"HA"
"H3","1","6","93.8181818181818",0.2,"HA"
"best","2","5","92.3636363636364",0.2,"HA"
"best","2","6","90.1818181818182",0.2,"HA"
"poisson","2","5","90.1818181818182",0.2,"HA"
"poisson","2","6","89.0909090909091",0.2,"HA"
"H1","2","5","94",0.2,"HA"
"H1","2","6","91.6363636363636",0.2,"HA"
"H3","2","5","93.0909090909091",0.2,"HA"
"H3","2","6","90.9090909090909",0.2,"HA"
"best","3","5","90.1818181818182",0.2,"HA"
"best","3","6","92.1818181818182",0.2,"HA"
"poisson","3","5","89.4545454545455",0.2,"HA"
"poisson","3","6","91.4545454545455",0.2,"HA"
"H1","3","5","90.1818181818182",0.2,"HA"
"H1","3","6","92.1818181818182",0.2,"HA"
"H3","3","5","90",0.2,"HA"
"H3","3","6","92.3636363636364",0.2,"HA"
"best","4","5","93.6363636363636",0.2,"HA"
"best","4","6","92.7272727272727",0.2,"HA"
"poisson","4","5","92.1818181818182",0.2,"HA"
"poisson","4","6","90.5454545454545",0.2,"HA"
"H1","4","5","94.5454545454545",0.2,"HA"
"H1","4","6","93.4545454545455",0.2,"HA"
"H3","4","5","94.7272727272727",0.2,"HA"
"H3","4","6","93.0909090909091",0.2,"HA"
"best","5","5","92.9090909090909",0.2,"HA"
"best","5","6","92.3636363636364",0.2,"HA"
"poisson","5","5","91.2727272727273",0.2,"HA"
"poisson","5","6","91.0909090909091",0.2,"HA"
"H1","5","5","92.9090909090909",0.2,"HA"
"H1","5","6","93.0909090909091",0.2,"HA"
"H3","5","5","92.9090909090909",0.2,"HA"
"H3","5","6","92.5454545454545",0.2,"HA"
"best","6","5","94.5454545454545",0.2,"HA"
"best","6","6","94",0.2,"HA"
"poisson","6","5","92.1818181818182",0.2,"HA"
"poisson","6","6","91.2727272727273",0.2,"HA"
"H1","6","5","94.7272727272727",0.2,"HA"
"H1","6","6","93.6363636363636",0.2,"HA"
"H3","6","5","94.9090909090909",0.2,"HA"
"H3","6","6","93.8181818181818",0.2,"HA"
"best","7","5","93.2727272727273",0.2,"HA"
"best","7","6","92.1818181818182",0.2,"HA"
"poisson","7","5","91.2727272727273",0.2,"HA"
"poisson","7","6","90.9090909090909",0.2,"HA"
"H1","7","5","93.4545454545455",0.2,"HA"
"H1","7","6","92.9090909090909",0.2,"HA"
"H3","7","5","93.6363636363636",0.2,"HA"
"H3","7","6","93.2727272727273",0.2,"HA"
"best","8","5","91.6363636363636",0.2,"HA"
"best","8","6","91.2727272727273",0.2,"HA"
"poisson","8","5","90.9090909090909",0.2,"HA"
"poisson","8","6","89.0909090909091",0.2,"HA"
"H1","8","5","92.3636363636364",0.2,"HA"
"H1","8","6","93.2727272727273",0.2,"HA"
"H3","8","5","91.6363636363636",0.2,"HA"
"H3","8","6","92.3636363636364",0.2,"HA"
"best","9","5","93.6363636363636",0.2,"HA"
"best","9","6","95.6363636363636",0.2,"HA"
"poisson","9","5","92.9090909090909",0.2,"HA"
"poisson","9","6","94.3636363636364",0.2,"HA"
"H1","9","5","94",0.2,"HA"
"H1","9","6","95.4545454545455",0.2,"HA"
"H3","9","5","93.6363636363636",0.2,"HA"
"H3","9","6","94.3636363636364",0.2,"HA"
"best","10","5","92.3636363636364",0.2,"HA"
"best","10","6","92.5454545454545",0.2,"HA"
"poisson","10","5","89.6363636363636",0.2,"HA"
"poisson","10","6","90.3636363636364",0.2,"HA"
"H1","10","5","92.5454545454545",0.2,"HA"
"H1","10","6","92.7272727272727",0.2,"HA"
"H3","10","5","92.7272727272727",0.2,"HA"
"H3","10","6","92.7272727272727",0.2,"HA"
"best","11","5","93.6363636363636",0.2,"HA"
"best","11","6","93.0909090909091",0.2,"HA"
"poisson","11","5","90.5454545454545",0.2,"HA"
"poisson","11","6","90.3636363636364",0.2,"HA"
"H1","11","5","92.1818181818182",0.2,"HA"
"H1","11","6","92.3636363636364",0.2,"HA"
