"rep","node","model1","model2","identity","blens","system"
1,5,"best","poisson",94,0.2,"HA"
1,6,"best","poisson",94.1818181818182,0.2,"HA"
1,5,"best","H1",98.3636363636364,0.2,"HA"
1,6,"best","H1",98.3636363636364,0.2,"HA"
1,5,"best","H3",98.7272727272727,0.2,"HA"
1,6,"best","H3",98.5454545454545,0.2,"HA"
1,5,"poisson","H1",93.8181818181818,0.2,"HA"
1,6,"poisson","H1",93.4545454545455,0.2,"HA"
1,5,"poisson","H3",94,0.2,"HA"
1,6,"poisson","H3",93.6363636363636,0.2,"HA"
1,5,"H1","H3",98.7272727272727,0.2,"HA"
1,6,"H1","H3",98.9090909090909,0.2,"HA"
2,5,"best","poisson",94.9090909090909,0.2,"HA"
2,6,"best","poisson",95.6363636363636,0.2,"HA"
2,5,"best","H1",96.5454545454545,0.2,"HA"
2,6,"best","H1",97.2727272727273,0.2,"HA"
2,5,"best","H3",97.6363636363636,0.2,"HA"
2,6,"best","H3",97.6363636363636,0.2,"HA"
2,5,"poisson","H1",94,0.2,"HA"
2,6,"poisson","H1",95.0909090909091,0.2,"HA"
2,5,"poisson","H3",94.7272727272727,0.2,"HA"
2,6,"poisson","H3",94.9090909090909,0.2,"HA"
2,5,"H1","H3",98.3636363636364,0.2,"HA"
2,6,"H1","H3",99.2727272727273,0.2,"HA"
3,5,"best","poisson",95.6363636363636,0.2,"HA"
3,6,"best","poisson",95.6363636363636,0.2,"HA"
3,5,"best","H1",96.7272727272727,0.2,"HA"
3,6,"best","H1",97.6363636363636,0.2,"HA"
3,5,"best","H3",97.4545454545455,0.2,"HA"
3,6,"best","H3",98.5454545454545,0.2,"HA"
3,5,"poisson","H1",94.7272727272727,0.2,"HA"
3,6,"poisson","H1",94.5454545454545,0.2,"HA"
3,5,"poisson","H3",95.0909090909091,0.2,"HA"
3,6,"poisson","H3",95.0909090909091,0.2,"HA"
3,5,"H1","H3",98.7272727272727,0.2,"HA"
3,6,"H1","H3",98.7272727272727,0.2,"HA"
4,5,"best","poisson",97.2727272727273,0.2,"HA"
4,6,"best","poisson",94.7272727272727,0.2,"HA"
4,5,"best","H1",98.1818181818182,0.2,"HA"
4,6,"best","H1",98.3636363636364,0.2,"HA"
4,5,"best","H3",98,0.2,"HA"
4,6,"best","H3",98.5454545454545,0.2,"HA"
4,5,"poisson","H1",96.7272727272727,0.2,"HA"
4,6,"poisson","H1",94.7272727272727,0.2,"HA"
4,5,"poisson","H3",96.3636363636364,0.2,"HA"
4,6,"poisson","H3",94.5454545454545,0.2,"HA"
4,5,"H1","H3",99.4545454545455,0.2,"HA"
4,6,"H1","H3",99.4545454545455,0.2,"HA"
5,5,"best","poisson",95.4545454545455,0.2,"HA"
5,6,"best","poisson",96.7272727272727,0.2,"HA"
5,5,"best","H1",98.7272727272727,0.2,"HA"
5,6,"best","H1",98.3636363636364,0.2,"HA"
5,5,"best","H3",98.5454545454545,0.2,"HA"
5,6,"best","H3",98.5454545454545,0.2,"HA"
5,5,"poisson","H1",94.1818181818182,0.2,"HA"
5,6,"poisson","H1",95.8181818181818,0.2,"HA"
5,5,"poisson","H3",94.9090909090909,0.2,"HA"
5,6,"poisson","H3",96.3636363636364,0.2,"HA"
5,5,"H1","H3",99.0909090909091,0.2,"HA"
5,6,"H1","H3",99.2727272727273,0.2,"HA"
6,5,"best","poisson",95.2727272727273,0.2,"HA"
6,6,"best","poisson",95.2727272727273,0.2,"HA"
6,5,"best","H1",98.3636363636364,0.2,"HA"
6,6,"best","H1",98.3636363636364,0.2,"HA"
6,5,"best","H3",98.5454545454545,0.2,"HA"
6,6,"best","H3",98.3636363636364,0.2,"HA"
