"rep","node","model1","model2","identity","blens","system"
1,5,"best","poisson",98.9010989010989,0.2,"RBD"
1,6,"best","poisson",96.1538461538462,0.2,"RBD"
1,5,"best","ER",96.7032967032967,0.2,"RBD"
1,6,"best","ER",96.7032967032967,0.2,"RBD"
1,5,"poisson","ER",95.6043956043956,0.2,"RBD"
1,6,"poisson","ER",96.1538461538462,0.2,"RBD"
2,5,"best","poisson",95.0549450549451,0.2,"RBD"
2,6,"best","poisson",93.4065934065934,0.2,"RBD"
2,5,"best","ER",97.8021978021978,0.2,"RBD"
2,6,"best","ER",96.7032967032967,0.2,"RBD"
2,5,"poisson","ER",94.5054945054945,0.2,"RBD"
2,6,"poisson","ER",93.4065934065934,0.2,"RBD"
3,5,"best","poisson",96.7032967032967,0.2,"RBD"
3,6,"best","poisson",93.956043956044,0.2,"RBD"
3,5,"best","ER",98.3516483516484,0.2,"RBD"
3,6,"best","ER",96.1538461538462,0.2,"RBD"
3,5,"poisson","ER",97.2527472527473,0.2,"RBD"
3,6,"poisson","ER",93.4065934065934,0.2,"RBD"
4,5,"best","poisson",95.0549450549451,0.2,"RBD"
4,6,"best","poisson",95.0549450549451,0.2,"RBD"
4,5,"best","ER",98.3516483516484,0.2,"RBD"
4,6,"best","ER",96.1538461538462,0.2,"RBD"
4,5,"poisson","ER",95.6043956043956,0.2,"RBD"
4,6,"poisson","ER",94.5054945054945,0.2,"RBD"
5,5,"best","poisson",97.8021978021978,0.2,"RBD"
5,6,"best","poisson",91.7582417582418,0.2,"RBD"
5,5,"best","ER",93.4065934065934,0.2,"RBD"
5,6,"best","ER",96.7032967032967,0.2,"RBD"
5,5,"poisson","ER",92.3076923076923,0.2,"RBD"
5,6,"poisson","ER",91.2087912087912,0.2,"RBD"
6,5,"best","poisson",98.3516483516484,0.2,"RBD"
6,6,"best","poisson",95.6043956043956,0.2,"RBD"
6,5,"best","ER",98.3516483516484,0.2,"RBD"
6,6,"best","ER",97.8021978021978,0.2,"RBD"
6,5,"poisson","ER",97.2527472527473,0.2,"RBD"
6,6,"poisson","ER",94.5054945054945,0.2,"RBD"
7,5,"best","poisson",97.2527472527473,0.2,"RBD"
7,6,"best","poisson",95.6043956043956,0.2,"RBD"
7,5,"best","ER",97.2527472527473,0.2,"RBD"
7,6,"best","ER",96.1538461538462,0.2,"RBD"
7,5,"poisson","ER",96.7032967032967,0.2,"RBD"
7,6,"poisson","ER",94.5054945054945,0.2,"RBD"
8,5,"best","poisson",96.7032967032967,0.2,"RBD"
8,6,"best","poisson",95.6043956043956,0.2,"RBD"
8,5,"best","ER",95.6043956043956,0.2,"RBD"
8,6,"best","ER",95.6043956043956,0.2,"RBD"
8,5,"poisson","ER",96.1538461538462,0.2,"RBD"
8,6,"poisson","ER",93.956043956044,0.2,"RBD"
9,5,"best","poisson",92.8571428571429,0.2,"RBD"
9,6,"best","poisson",95.6043956043956,0.2,"RBD"
9,5,"best","ER",96.1538461538462,0.2,"RBD"
9,6,"best","ER",96.7032967032967,0.2,"RBD"
9,5,"poisson","ER",95.0549450549451,0.2,"RBD"
9,6,"poisson","ER",93.956043956044,0.2,"RBD"
10,5,"best","poisson",92.3076923076923,0.2,"RBD"
10,6,"best","poisson",92.8571428571429,0.2,"RBD"
10,5,"best","ER",94.5054945054945,0.2,"RBD"
10,6,"best","ER",96.7032967032967,0.2,"RBD"
10,5,"poisson","ER",89.5604395604396,0.2,"RBD"
10,6,"poisson","ER",90.6593406593407,0.2,"RBD"
11,5,"best","poisson",97.2527472527473,0.2,"RBD"
11,6,"best","poisson",96.1538461538462,0.2,"RBD"
11,5,"best","ER",97.8021978021978,0.2,"RBD"
11,6,"best","ER",98.3516483516484,0.2,"RBD"
11,5,"poisson","ER",95.6043956043956,0.2,"RBD"
11,6,"poisson","ER",95.6043956043956,0.2,"RBD"
12,5,"best","poisson",97.2527472527473,0.2,"RBD"
12,6,"best","poisson",98.3516483516484,0.2,"RBD"
12,5,"best","ER",98.3516483516484,0.2,"RBD"
12,6,"best","ER",96.7032967032967,0.2,"RBD"
12,5,"poisson","ER",95.6043956043956,0.2,"RBD"
12,6,"poisson","ER",96.7032967032967,0.2,"RBD"
13,5,"best","poisson",95.0549450549451,0.2,"RBD"
13,6,"best","poisson",95.6043956043956,0.2,"RBD"
13,5,"best","ER",97.2527472527473,0.2,"RBD"
