"rep","node","model1","model2","identity","blens","system"
1,5,"best","poisson",96.0526315789474,0.2,"SR"
1,6,"best","poisson",97.3684210526316,0.2,"SR"
1,5,"best","ER",98.6842105263158,0.2,"SR"
1,6,"best","ER",97.3684210526316,0.2,"SR"
1,5,"best","kSR",98.6842105263158,0.2,"SR"
1,6,"best","kSR",98.6842105263158,0.2,"SR"
1,5,"poisson","ER",97.3684210526316,0.2,"SR"
1,6,"poisson","ER",94.7368421052632,0.2,"SR"
1,5,"poisson","kSR",97.3684210526316,0.2,"SR"
1,6,"poisson","kSR",96.0526315789474,0.2,"SR"
1,5,"ER","kSR",100,0.2,"SR"
1,6,"ER","kSR",98.6842105263158,0.2,"SR"
2,5,"best","poisson",98.6842105263158,0.2,"SR"
2,6,"best","poisson",98.6842105263158,0.2,"SR"
2,5,"best","ER",98.6842105263158,0.2,"SR"
2,6,"best","ER",97.3684210526316,0.2,"SR"
2,5,"best","kSR",98.6842105263158,0.2,"SR"
2,6,"best","kSR",97.3684210526316,0.2,"SR"
2,5,"poisson","ER",100,0.2,"SR"
2,6,"poisson","ER",96.0526315789474,0.2,"SR"
2,5,"poisson","kSR",100,0.2,"SR"
2,6,"poisson","kSR",96.0526315789474,0.2,"SR"
2,5,"ER","kSR",100,0.2,"SR"
2,6,"ER","kSR",100,0.2,"SR"
3,5,"best","poisson",96.0526315789474,0.2,"SR"
3,6,"best","poisson",94.7368421052632,0.2,"SR"
3,5,"best","ER",93.4210526315789,0.2,"SR"
3,6,"best","ER",92.1052631578947,0.2,"SR"
3,5,"best","kSR",93.4210526315789,0.2,"SR"
3,6,"best","kSR",92.1052631578947,0.2,"SR"
3,5,"poisson","ER",97.3684210526316,0.2,"SR"
3,6,"poisson","ER",92.1052631578947,0.2,"SR"
3,5,"poisson","kSR",97.3684210526316,0.2,"SR"
3,6,"poisson","kSR",92.1052631578947,0.2,"SR"
3,5,"ER","kSR",100,0.2,"SR"
3,6,"ER","kSR",100,0.2,"SR"
4,5,"best","poisson",97.3684210526316,0.2,"SR"
4,6,"best","poisson",98.6842105263158,0.2,"SR"
4,5,"best","ER",97.3684210526316,0.2,"SR"
4,6,"best","ER",96.0526315789474,0.2,"SR"
4,5,"best","kSR",97.3684210526316,0.2,"SR"
4,6,"best","kSR",96.0526315789474,0.2,"SR"
4,5,"poisson","ER",94.7368421052632,0.2,"SR"
4,6,"poisson","ER",94.7368421052632,0.2,"SR"
4,5,"poisson","kSR",94.7368421052632,0.2,"SR"
4,6,"poisson","kSR",94.7368421052632,0.2,"SR"
4,5,"ER","kSR",100,0.2,"SR"
4,6,"ER","kSR",100,0.2,"SR"
5,5,"best","poisson",93.4210526315789,0.2,"SR"
5,6,"best","poisson",96.0526315789474,0.2,"SR"
5,5,"best","ER",94.7368421052632,0.2,"SR"
5,6,"best","ER",93.4210526315789,0.2,"SR"
5,5,"best","kSR",97.3684210526316,0.2,"SR"
5,6,"best","kSR",94.7368421052632,0.2,"SR"
5,5,"poisson","ER",96.0526315789474,0.2,"SR"
5,6,"poisson","ER",94.7368421052632,0.2,"SR"
5,5,"poisson","kSR",96.0526315789474,0.2,"SR"
5,6,"poisson","kSR",96.0526315789474,0.2,"SR"
5,5,"ER","kSR",97.3684210526316,0.2,"SR"
5,6,"ER","kSR",92.1052631578947,0.2,"SR"
6,5,"best","poisson",96.0526315789474,0.2,"SR"
6,6,"best","poisson",89.4736842105263,0.2,"SR"
6,5,"best","ER",92.1052631578947,0.2,"SR"
6,6,"best","ER",93.4210526315789,0.2,"SR"
6,5,"best","kSR",93.4210526315789,0.2,"SR"
6,6,"best","kSR",93.4210526315789,0.2,"SR"
6,5,"poisson","ER",93.4210526315789,0.2,"SR"
6,6,"poisson","ER",93.4210526315789,0.2,"SR"
6,5,"poisson","kSR",96.0526315789474,0.2,"SR"
6,6,"poisson","kSR",93.4210526315789,0.2,"SR"
6,5,"ER","kSR",97.3684210526316,0.2,"SR"
6,6,"ER","kSR",98.6842105263158,0.2,"SR"
7,5,"best","poisson",98.6842105263158,0.2,"SR"
7,6,"best","poisson",94.7368421052632,0.2,"SR"
7,5,"best","ER",97.3684210526316,0.2,"SR"
7,6,"best","ER",94.7368421052632,0.2,"SR"
7,5,"best","kSR",97.3684210526316,0.2,"SR"
7,6,"best","kSR",93.4210526315789,0.2,"SR"
7,5,"poisson","ER",96.0526315789474,0.2,"SR"
7,6,"poisson","ER",93.4210526315789,0.2,"SR"
7,5,"poisson","kSR",97.3684210526316,0.2,"SR"
7,6,"poisson","kSR",93.4210526315789,0.2,"SR"
7,5,"ER","kSR",97.3684210526316,0.2,"SR"
7,6,"ER","kSR",93.4210526315789,0.2,"SR"
8,5,"best","poisson",100,0.2,"SR"
8,6,"best","poisson",97.3684210526316,0.2,"SR"
8,5,"best","ER",100,0.2,"SR"
8,6,"best","ER",100,0.2,"SR"
8,5,"best","kSR",100,0.2,"SR"
8,6,"best","kSR",100,0.2,"SR"
8,5,"poisson","ER",100,0.2,"SR"
8,6,"poisson","ER",97.3684210526316,0.2,"SR"
8,5,"poisson","kSR",100,0.2,"SR"
8,6,"poisson","kSR",97.3684210526316,0.2,"SR"
8,5,"ER","kSR",100,0.2,"SR"
8,6,"ER","kSR",100,0.2,"SR"
9,5,"best","poisson",93.4210526315789,0.2,"SR"
9,6,"best","poisson",88.1578947368421,0.2,"SR"
9,5,"best","ER",97.3684210526316,0.2,"SR"
9,6,"best","ER",96.0526315789474,0.2,"SR"
9,5,"best","kSR",96.0526315789474,0.2,"SR"
9,6,"best","kSR",97.3684210526316,0.2,"SR"
9,5,"poisson","ER",90.7894736842105,0.2,"SR"
9,6,"poisson","ER",84.2105263157895,0.2,"SR"
9,5,"poisson","kSR",89.4736842105263,0.2,"SR"
9,6,"poisson","kSR",85.5263157894737,0.2,"SR"
9,5,"ER","kSR",98.6842105263158,0.2,"SR"
9,6,"ER","kSR",98.6842105263158,0.2,"SR"
10,5,"best","poisson",93.4210526315789,0.2,"SR"
10,6,"best","poisson",93.4210526315789,0.2,"SR"
10,5,"best","ER",98.6842105263158,0.2,"SR"
10,6,"best","ER",94.7368421052632,0.2,"SR"
10,5,"best","kSR",98.6842105263158,0.2,"SR"
10,6,"best","kSR",97.3684210526316,0.2,"SR"
10,5,"poisson","ER",94.7368421052632,0.2,"SR"
10,6,"poisson","ER",96.0526315789474,0.2,"SR"
10,5,"poisson","kSR",94.7368421052632,0.2,"SR"
10,6,"poisson","kSR",93.4210526315789,0.2,"SR"
10,5,"ER","kSR",100,0.2,"SR"
10,6,"ER","kSR",92.1052631578947,0.2,"SR"
11,5,"best","poisson",98.6842105263158,0.2,"SR"
11,6,"best","poisson",98.6842105263158,0.2,"SR"
11,5,"best","ER",98.6842105263158,0.2,"SR"
11,6,"best","ER",97.3684210526316,0.2,"SR"
11,5,"best","kSR",97.3684210526316,0.2,"SR"
11,6,"best","kSR",98.6842105263158,0.2,"SR"
11,5,"poisson","ER",100,0.2,"SR"
11,6,"poisson","ER",96.0526315789474,0.2,"SR"
11,5,"poisson","kSR",98.6842105263158,0.2,"SR"
11,6,"poisson","kSR",97.3684210526316,0.2,"SR"
11,5,"ER","kSR",98.6842105263158,0.2,"SR"
11,6,"ER","kSR",98.6842105263158,0.2,"SR"
12,5,"best","poisson",94.7368421052632,0.2,"SR"
12,6,"best","poisson",96.0526315789474,0.2,"SR"
12,5,"best","ER",97.3684210526316,0.2,"SR"
12,6,"best","ER",98.6842105263158,0.2,"SR"
12,5,"best","kSR",97.3684210526316,0.2,"SR"
12,6,"best","kSR",100,0.2,"SR"
12,5,"poisson","ER",94.7368421052632,0.2,"SR"
12,6,"poisson","ER",96.0526315789474,0.2,"SR"
12,5,"poisson","kSR",94.7368421052632,0.2,"SR"
12,6,"poisson","kSR",96.0526315789474,0.2,"SR"
12,5,"ER","kSR",100,0.2,"SR"
12,6,"ER","kSR",98.6842105263158,0.2,"SR"
13,5,"best","poisson",92.1052631578947,0.2,"SR"
13,6,"best","poisson",97.3684210526316,0.2,"SR"
13,5,"best","ER",85.5263157894737,0.2,"SR"
13,6,"best","ER",97.3684210526316,0.2,"SR"
13,5,"best","kSR",90.7894736842105,0.2,"SR"
13,6,"best","kSR",97.3684210526316,0.2,"SR"
13,5,"poisson","ER",93.4210526315789,0.2,"SR"
13,6,"poisson","ER",97.3684210526316,0.2,"SR"
13,5,"poisson","kSR",96.0526315789474,0.2,"SR"
13,6,"poisson","kSR",97.3684210526316,0.2,"SR"
13,5,"ER","kSR",94.7368421052632,0.2,"SR"
13,6,"ER","kSR",100,0.2,"SR"
14,5,"best","poisson",85.5263157894737,0.2,"SR"
14,6,"best","poisson",89.4736842105263,0.2,"SR"
14,5,"best","ER",97.3684210526316,0.2,"SR"
14,6,"best","ER",92.1052631578947,0.2,"SR"
14,5,"best","kSR",93.4210526315789,0.2,"SR"
14,6,"best","kSR",93.4210526315789,0.2,"SR"
14,5,"poisson","ER",88.1578947368421,0.2,"SR"
14,6,"poisson","ER",93.4210526315789,0.2,"SR"
14,5,"poisson","kSR",88.1578947368421,0.2,"SR"
14,6,"poisson","kSR",90.7894736842105,0.2,"SR"
14,5,"ER","kSR",93.4210526315789,0.2,"SR"
