"model","rep","total_blens","mean_blens","blens","system"
"best","1","3.5695","0.7139",0.8,"HA"
"best","2","3.826325","0.765265",0.8,"HA"
"best","3","3.906082","0.7812164",0.8,"HA"
"best","4","3.181093","0.6362186",0.8,"HA"
"best","5","3.460522","0.6921044",0.8,"HA"
"best","6","3.63158","0.726316",0.8,"HA"
"best","7","2.989812","0.5979624",0.8,"HA"
"best","8","3.384556","0.6769112",0.8,"HA"
"best","9","3.492806","0.6985612",0.8,"HA"
"best","10","3.698288","0.7396576",0.8,"HA"
"best","11","3.318951","0.6637902",0.8,"HA"
"best","12","3.744241","0.7488482",0.8,"HA"
"best","13","3.358169","0.6716338",0.8,"HA"
"best","14","3.136807","0.6273614",0.8,"HA"
"best","15","2.66825","0.53365",0.8,"HA"
"best","16","3.881363","0.7762726",0.8,"HA"
"best","17","3.298723","0.6597446",0.8,"HA"
"best","18","3.796291","0.7592582",0.8,"HA"
"best","19","3.294622","0.6589244",0.8,"HA"
"best","20","3.515891","0.7031782",0.8,"HA"
"best","21","3.71389","0.742778",0.8,"HA"
"best","22","3.157212","0.6314424",0.8,"HA"
"best","23","3.386919","0.6773838",0.8,"HA"
"best","24","3.741321","0.7482642",0.8,"HA"
"best","25","4.206135","0.841227",0.8,"HA"
"best","26","3.773994","0.7547988",0.8,"HA"
"best","27","4.317425","0.863485",0.8,"HA"
"best","28","3.469564","0.6939128",0.8,"HA"
"best","29","3.718968","0.7437936",0.8,"HA"
"best","30","0.952016","0.1904032",0.8,"HA"
"best","31","3.580472","0.7160944",0.8,"HA"
"best","32","3.10478","0.620956",0.8,"HA"
"best","33","3.960829","0.7921658",0.8,"HA"
"best","34","3.943053","0.7886106",0.8,"HA"
"best","35","3.499614","0.6999228",0.8,"HA"
"best","36","3.370157","0.6740314",0.8,"HA"
"best","37","3.031621","0.6063242",0.8,"HA"
"best","38","3.447617","0.6895234",0.8,"HA"
"best","39","3.776537","0.7553074",0.8,"HA"
"best","40","2.877708","0.5755416",0.8,"HA"
"best","41","3.356864","0.6713728",0.8,"HA"
"best","42","3.327373","0.6654746",0.8,"HA"
"best","43","3.073707","0.6147414",0.8,"HA"
"best","44","3.471732","0.6943464",0.8,"HA"
"best","45","3.54702","0.709404",0.8,"HA"
"best","46","3.902258","0.7804516",0.8,"HA"
"best","47","3.481688","0.6963376",0.8,"HA"
"best","48","3.490192","0.6980384",0.8,"HA"
"best","49","3.743896","0.7487792",0.8,"HA"
"best","50","3.377497","0.6754994",0.8,"HA"
"best","51","3.683388","0.7366776",0.8,"HA"
"best","52","3.277108","0.6554216",0.8,"HA"
"best","53","3.548297","0.7096594",0.8,"HA"
"best","54","3.797856","0.7595712",0.8,"HA"
"best","55","2.585528","0.5171056",0.8,"HA"
"best","56","3.191103","0.6382206",0.8,"HA"
"best","57","3.816847","0.7633694",0.8,"HA"
"best","58","4.02857","0.805714",0.8,"HA"
"best","59","3.578238","0.7156476",0.8,"HA"
"best","60","3.26277","0.652554",0.8,"HA"
"best","61","3.656806","0.7313612",0.8,"HA"
"best","62","0.970592","0.1941184",0.8,"HA"
"best","63","3.57873","0.715746",0.8,"HA"
"best","64","2.919634","0.5839268",0.8,"HA"
"best","65","3.790855","0.758171",0.8,"HA"
"best","66","4.045224","0.8090448",0.8,"HA"
"best","67","3.424003","0.6848006",0.8,"HA"
"best","68","3.385529","0.6771058",0.8,"HA"
"best","69","3.352873","0.6705746",0.8,"HA"
"best","70","3.745062","0.7490124",0.8,"HA"
"best","71","3.328652","0.6657304",0.8,"HA"
"best","72","3.782244","0.7564488",0.8,"HA"
"best","73","3.262566","0.6525132",0.8,"HA"
"best","74","4.027645","0.805529",0.8,"HA"
"best","75","0.894032","0.1788064",0.8,"HA"
"best","76","3.701511","0.7403022",0.8,"HA"
"best","77","0.925736","0.1851472",0.8,"HA"
"best","78","3.287221","0.6574442",0.8,"HA"
"best","79","3.463931","0.6927862",0.8,"HA"
"best","80","4.403314","0.8806628",0.8,"HA"
"best","81","3.472892","0.6945784",0.8,"HA"
"best","82","3.792636","0.7585272",0.8,"HA"
"best","83","3.363779","0.6727558",0.8,"HA"
"best","84","3.717892","0.7435784",0.8,"HA"
"best","85","3.216088","0.6432176",0.8,"HA"
"best","86","3.471869","0.6943738",0.8,"HA"
"best","87","2.841652","0.5683304",0.8,"HA"
"best","88","3.328065","0.665613",0.8,"HA"
"best","89","3.759","0.7518",0.8,"HA"
"best","90","3.617208","0.7234416",0.8,"HA"
"best","91","3.769094","0.7538188",0.8,"HA"
"best","92","3.608781","0.7217562",0.8,"HA"
"best","93","3.555078","0.7110156",0.8,"HA"
"best","94","3.574408","0.7148816",0.8,"HA"
"best","95","3.680925","0.736185",0.8,"HA"
"best","96","3.741004","0.7482008",0.8,"HA"
"best","97","3.492454","0.6984908",0.8,"HA"
"best","98","3.594276","0.7188552",0.8,"HA"
"best","99","3.318778","0.6637556",0.8,"HA"
"best","100","4.231095","0.846219",0.8,"HA"
"poisson","1","2.305733","0.4611466",0.8,"HA"
"poisson","2","2.091918","0.4183836",0.8,"HA"
"poisson","3","1.969222","0.3938444",0.8,"HA"
"poisson","4","1.951313","0.3902626",0.8,"HA"
"poisson","5","1.998639","0.3997278",0.8,"HA"
"poisson","6","1.869497","0.3738994",0.8,"HA"
"poisson","7","1.920573","0.3841146",0.8,"HA"
"poisson","8","1.977889","0.3955778",0.8,"HA"
"poisson","9","2.052123","0.4104246",0.8,"HA"
"poisson","10","2.325188","0.4650376",0.8,"HA"
"poisson","11","1.899017","0.3798034",0.8,"HA"
"poisson","12","2.004662","0.4009324",0.8,"HA"
"poisson","13","1.945748","0.3891496",0.8,"HA"
"poisson","14","1.845149","0.3690298",0.8,"HA"
"poisson","15","1.916054","0.3832108",0.8,"HA"
"poisson","16","2.143769","0.4287538",0.8,"HA"
"poisson","17","1.995463","0.3990926",0.8,"HA"
"poisson","18","2.084861","0.4169722",0.8,"HA"
"poisson","19","1.927258","0.3854516",0.8,"HA"
"poisson","20","2.027885","0.405577",0.8,"HA"
"poisson","21","2.052546","0.4105092",0.8,"HA"
"poisson","22","1.955257","0.3910514",0.8,"HA"
"poisson","23","1.925903","0.3851806",0.8,"HA"
"poisson","24","2.006266","0.4012532",0.8,"HA"
"poisson","25","2.210446","0.4420892",0.8,"HA"
"poisson","26","2.314116","0.4628232",0.8,"HA"
"poisson","27","2.231105","0.446221",0.8,"HA"
"poisson","28","2.00948","0.401896",0.8,"HA"
"poisson","29","2.025443","0.4050886",0.8,"HA"
"poisson","30","2.012912","0.4025824",0.8,"HA"
"poisson","31","1.902225","0.380445",0.8,"HA"
"poisson","32","1.892419","0.3784838",0.8,"HA"
"poisson","33","2.115784","0.4231568",0.8,"HA"
"poisson","34","2.241974","0.4483948",0.8,"HA"
"poisson","35","1.953695","0.390739",0.8,"HA"
"poisson","36","1.917813","0.3835626",0.8,"HA"
"poisson","37","1.913793","0.3827586",0.8,"HA"
"poisson","38","1.88374","0.376748",0.8,"HA"
"poisson","39","2.130167","0.4260334",0.8,"HA"
"poisson","40","1.969948","0.3939896",0.8,"HA"
"poisson","41","1.961005","0.392201",0.8,"HA"
"poisson","42","1.916233","0.3832466",0.8,"HA"
"poisson","43","2.214957","0.4429914",0.8,"HA"
"poisson","44","1.945911","0.3891822",0.8,"HA"
"poisson","45","1.951809","0.3903618",0.8,"HA"
"poisson","46","2.109437","0.4218874",0.8,"HA"
"poisson","47","2.007761","0.4015522",0.8,"HA"
"poisson","48","2.015036","0.4030072",0.8,"HA"
"poisson","49","2.132005","0.426401",0.8,"HA"
"poisson","50","2.190382","0.4380764",0.8,"HA"
"poisson","51","2.120338","0.4240676",0.8,"HA"
"poisson","52","1.92012","0.384024",0.8,"HA"
"poisson","53","2.167803","0.4335606",0.8,"HA"
"poisson","54","1.949117","0.3898234",0.8,"HA"
"poisson","55","1.853839","0.3707678",0.8,"HA"
"poisson","56","1.957193","0.3914386",0.8,"HA"
"poisson","57","1.994835","0.398967",0.8,"HA"
"poisson","58","2.156686","0.4313372",0.8,"HA"
"poisson","59","1.947736","0.3895472",0.8,"HA"
"poisson","60","1.957009","0.3914018",0.8,"HA"
"poisson","61","2.166998","0.4333996",0.8,"HA"
"poisson","62","2.006578","0.4013156",0.8,"HA"
"poisson","63","2.075591","0.4151182",0.8,"HA"
"poisson","64","1.935842","0.3871684",0.8,"HA"
"poisson","65","1.998829","0.3997658",0.8,"HA"
"poisson","66","2.160219","0.4320438",0.8,"HA"
"poisson","67","1.947853","0.3895706",0.8,"HA"
"poisson","68","2.087264","0.4174528",0.8,"HA"
"poisson","69","2.024097","0.4048194",0.8,"HA"
"poisson","70","2.215918","0.4431836",0.8,"HA"
"poisson","71","1.936187","0.3872374",0.8,"HA"
"poisson","72","2.088733","0.4177466",0.8,"HA"
"poisson","73","2.060321","0.4120642",0.8,"HA"
"poisson","74","2.144137","0.4288274",0.8,"HA"
"poisson","75","1.960469","0.3920938",0.8,"HA"
"poisson","76","2.049553","0.4099106",0.8,"HA"
"poisson","77","2.084891","0.4169782",0.8,"HA"
"poisson","78","1.999174","0.3998348",0.8,"HA"
"poisson","79","2.054756","0.4109512",0.8,"HA"
"poisson","80","2.341926","0.4683852",0.8,"HA"
"poisson","81","1.917782","0.3835564",0.8,"HA"
"poisson","82","2.252849","0.4505698",0.8,"HA"
"poisson","83","2.052565","0.410513",0.8,"HA"
"poisson","84","2.059844","0.4119688",0.8,"HA"
"poisson","85","2.037081","0.4074162",0.8,"HA"
"poisson","86","1.987088","0.3974176",0.8,"HA"
"poisson","87","1.851856","0.3703712",0.8,"HA"
"poisson","88","1.989304","0.3978608",0.8,"HA"
"poisson","89","1.892433","0.3784866",0.8,"HA"
"poisson","90","1.9769","0.39538",0.8,"HA"
"poisson","91","1.94908","0.389816",0.8,"HA"
"poisson","92","2.148389","0.4296778",0.8,"HA"
"poisson","93","1.914798","0.3829596",0.8,"HA"
"poisson","94","2.082157","0.4164314",0.8,"HA"
"poisson","95","1.992576","0.3985152",0.8,"HA"
"poisson","96","2.087136","0.4174272",0.8,"HA"
