"bin_midpoint","model","prop_true","total_elements","prop_correct","blens","system"
0.025,"RBD",17250,1843153,0.00935896260375563,0.8,"RBD"
0.075,"RBD",8252,111338,0.0741166537929548,0.8,"RBD"
0.125,"RBD",5535,44267,0.125036709060926,0.8,"RBD"
0.175,"RBD",4206,24619,0.170843657337828,0.8,"RBD"
0.225,"RBD",3475,15970,0.21759549154665,0.8,"RBD"
0.275,"RBD",3085,11682,0.264081492895052,0.8,"RBD"
0.325,"RBD",2790,9086,0.307065815540392,0.8,"RBD"
0.375,"RBD",2504,7254,0.345188861317894,0.8,"RBD"
0.425,"RBD",2429,6209,0.391206313416009,0.8,"RBD"
0.475,"RBD",2504,5593,0.447702485249419,0.8,"RBD"
0.525,"RBD",2412,4996,0.482786228983187,0.8,"RBD"
0.575,"RBD",2436,4686,0.519846350832266,0.8,"RBD"
0.625,"RBD",2790,4718,0.591352267910131,0.8,"RBD"
0.675,"RBD",3266,4995,0.653853853853854,0.8,"RBD"
0.725,"RBD",3807,5537,0.687556438504605,0.8,"RBD"
0.775,"RBD",4937,6596,0.748483929654336,0.8,"RBD"
0.825,"RBD",6480,8165,0.793631353337416,0.8,"RBD"
0.875,"RBD",8167,9705,0.841524987120041,0.8,"RBD"
0.925,"RBD",10230,11440,0.894230769230769,0.8,"RBD"
0.975,"RBD",84821,86454,0.981111342448007,0.8,"RBD"
0.025,"best",20567,1068923,0.0192408620639653,0.8,"RBD"
0.075,"best",6035,78390,0.0769868605689501,0.8,"RBD"
0.125,"best",4034,34551,0.116754941969842,0.8,"RBD"
0.175,"best",3188,20410,0.156197942185203,0.8,"RBD"
0.225,"best",2802,14502,0.193214729002896,0.8,"RBD"
0.275,"best",2535,10991,0.230643253571104,0.8,"RBD"
0.325,"best",2234,8622,0.259104616098353,0.8,"RBD"
0.375,"best",2051,6812,0.301086318261891,0.8,"RBD"
0.425,"best",1937,5738,0.33757406761938,0.8,"RBD"
0.475,"best",1738,4667,0.372401971287765,0.8,"RBD"
0.525,"best",1674,4021,0.416314349664263,0.8,"RBD"
0.575,"best",1607,3542,0.453698475437606,0.8,"RBD"
0.625,"best",1643,3508,0.468358038768529,0.8,"RBD"
0.675,"best",1863,3589,0.519086096405684,0.8,"RBD"
0.725,"best",2102,3801,0.553012365167061,0.8,"RBD"
0.775,"best",2568,4259,0.60295844094858,0.8,"RBD"
0.825,"best",3574,5267,0.678564647807101,0.8,"RBD"
0.875,"best",5265,7125,0.738947368421053,0.8,"RBD"
0.925,"best",10547,13257,0.7955796937467,0.8,"RBD"
0.975,"best",101125,105706,0.956662819518287,0.8,"RBD"
0.025,"poisson",24718,1262084,0.0195850672379968,0.8,"RBD"
0.075,"poisson",3120,26597,0.11730646313494,0.8,"RBD"
0.125,"poisson",2650,24633,0.107579263589494,0.8,"RBD"
0.175,"poisson",2653,15258,0.173875999475685,0.8,"RBD"
0.225,"poisson",3802,17788,0.213739599730155,0.8,"RBD"
0.275,"poisson",3324,15563,0.213583499325323,0.8,"RBD"
0.325,"poisson",2304,10172,0.226504128981518,0.8,"RBD"
0.375,"poisson",1630,6398,0.254767114723351,0.8,"RBD"
0.425,"poisson",955,3601,0.265204109969453,0.8,"RBD"
0.475,"poisson",610,2233,0.273175100761308,0.8,"RBD"
0.525,"poisson",566,1810,0.312707182320442,0.8,"RBD"
0.575,"poisson",460,1247,0.368885324779471,0.8,"RBD"
0.625,"poisson",428,1009,0.42418235877106,0.8,"RBD"
0.675,"poisson",476,1020,0.466666666666667,0.8,"RBD"
0.725,"poisson",749,1554,0.481981981981982,0.8,"RBD"
0.775,"poisson",1720,3399,0.506031185642836,0.8,"RBD"
0.825,"poisson",2719,5658,0.480558501237186,0.8,"RBD"
0.875,"poisson",3899,7434,0.524482109227872,0.8,"RBD"
0.925,"poisson",6853,9647,0.710376282782212,0.8,"RBD"
0.975,"poisson",114078,122271,0.932993105478813,0.8,"RBD"
