"bin_midpoint","model","prop_true","total_elements","prop_correct","blens","system"
0.025,"ER",15493,1073082,0.0144378528388324,0.8,"SR"
0.075,"ER",7701,97135,0.0792814124671848,0.8,"SR"
0.125,"ER",5072,39046,0.129898068944322,0.8,"SR"
0.175,"ER",3829,21806,0.175593873245896,0.8,"SR"
0.225,"ER",3076,14269,0.215572219496811,0.8,"SR"
0.275,"ER",2683,10433,0.257164765647465,0.8,"SR"
0.325,"ER",2344,8192,0.2861328125,0.8,"SR"
0.375,"ER",2193,6749,0.324937027707809,0.8,"SR"
0.425,"ER",2035,5793,0.35128603486967,0.8,"SR"
0.475,"ER",2029,5029,0.403459932392126,0.8,"SR"
0.525,"ER",2147,4783,0.448881455153669,0.8,"SR"
0.575,"ER",2219,4556,0.487050043898156,0.8,"SR"
0.625,"ER",2345,4408,0.531987295825771,0.8,"SR"
0.675,"ER",2672,4538,0.588805641251653,0.8,"SR"
0.725,"ER",3054,4815,0.634267912772586,0.8,"SR"
0.775,"ER",3674,5346,0.687242798353909,0.8,"SR"
0.825,"ER",4586,6292,0.728862047043865,0.8,"SR"
0.875,"ER",5964,7474,0.797966283114798,0.8,"SR"
0.925,"ER",9094,10525,0.864038004750594,0.8,"SR"
0.975,"ER",63791,70436,0.905659037991936,0.8,"SR"
0.025,"best",18952,1010823,0.0187490787210026,0.8,"SR"
0.075,"best",7124,85855,0.0829771125735251,0.8,"SR"
0.125,"best",4732,38796,0.121971337251263,0.8,"SR"
0.175,"best",3689,23390,0.157716973065413,0.8,"SR"
0.225,"best",3141,16082,0.195311528416864,0.8,"SR"
0.275,"best",2697,11987,0.224993743221824,0.8,"SR"
0.325,"best",2386,9207,0.25915064624742,0.8,"SR"
0.375,"best",2189,7566,0.289320644990748,0.8,"SR"
0.425,"best",2069,6293,0.328778007309709,0.8,"SR"
0.475,"best",1943,5216,0.372507668711656,0.8,"SR"
0.525,"best",1949,4670,0.417344753747323,0.8,"SR"
0.575,"best",2022,4339,0.466005992164093,0.8,"SR"
0.625,"best",2017,4086,0.493636808614782,0.8,"SR"
0.675,"best",2261,4022,0.562158130283441,0.8,"SR"
0.725,"best",2589,4313,0.600278228611176,0.8,"SR"
0.775,"best",3041,4732,0.642645815722739,0.8,"SR"
0.825,"best",3971,5676,0.699612403100775,0.8,"SR"
0.875,"best",5263,7038,0.747797669792555,0.8,"SR"
0.925,"best",8094,10176,0.795400943396226,0.8,"SR"
0.975,"best",69627,72895,0.955168392893888,0.8,"SR"
0.025,"kSR",19024,1166467,0.0163090768963031,0.8,"SR"
0.075,"kSR",7370,87127,0.0845891629460443,0.8,"SR"
0.125,"kSR",4804,36685,0.130952705465449,0.8,"SR"
0.175,"kSR",3591,21086,0.170302570425875,0.8,"SR"
0.225,"kSR",2774,13853,0.200245434201978,0.8,"SR"
0.275,"kSR",2431,10045,0.242010950721752,0.8,"SR"
0.325,"kSR",2180,7991,0.272806907771243,0.8,"SR"
0.375,"kSR",1924,6572,0.292757151552039,0.8,"SR"
0.425,"kSR",1691,5505,0.307175295186194,0.8,"SR"
0.475,"kSR",1789,4905,0.364729867482161,0.8,"SR"
0.525,"kSR",1876,4671,0.401627060586598,0.8,"SR"
0.575,"kSR",1991,4319,0.460986339430424,0.8,"SR"
0.625,"kSR",2009,4147,0.484446587894864,0.8,"SR"
0.675,"kSR",2290,4333,0.528502192476344,0.8,"SR"
0.725,"kSR",2677,4589,0.583351492699935,0.8,"SR"
0.775,"kSR",3314,5216,0.635352760736196,0.8,"SR"
0.825,"kSR",4396,6343,0.693047453886174,0.8,"SR"
0.875,"kSR",6246,8394,0.744102930664761,0.8,"SR"
0.925,"kSR",9345,11532,0.810353798126951,0.8,"SR"
0.975,"kSR",68222,71405,0.955423289685596,0.8,"SR"
0.025,"poisson",26227,1301147,0.0201568308576971,0.8,"SR"
0.075,"poisson",3853,32670,0.117936945209672,0.8,"SR"
0.125,"poisson",3370,23295,0.144666237389998,0.8,"SR"
0.175,"poisson",3329,17852,0.186477705579207,0.8,"SR"
0.225,"poisson",3071,14714,0.208712790539622,0.8,"SR"
0.275,"poisson",2492,11558,0.215608236719156,0.8,"SR"
0.325,"poisson",2047,8979,0.227976389352935,0.8,"SR"
0.375,"poisson",1349,5706,0.236417805818437,0.8,"SR"
0.425,"poisson",1151,4364,0.263748854262145,0.8,"SR"
0.475,"poisson",920,3381,0.272108843537415,0.8,"SR"
0.525,"poisson",778,2332,0.333619210977702,0.8,"SR"
0.575,"poisson",731,2022,0.361523244312562,0.8,"SR"
0.625,"poisson",828,2058,0.402332361516035,0.8,"SR"
0.675,"poisson",807,1910,0.422513089005236,0.8,"SR"
0.725,"poisson",1055,2285,0.461706783369803,0.8,"SR"
0.775,"poisson",1393,2987,0.466354201540007,0.8,"SR"
0.825,"poisson",2050,4063,0.504553285749446,0.8,"SR"
0.875,"poisson",3233,5865,0.551236146632566,0.8,"SR"
0.925,"poisson",5938,8759,0.677931270693002,0.8,"SR"
0.975,"poisson",84557,91716,0.921943826595142,0.8,"SR"
