"model","rep","node","identity","blens","system"
"best","1","5","66.4835164835165",1.6,"RBD"
"best","1","6","68.1318681318681",1.6,"RBD"
"poisson","1","5","68.6813186813187",1.6,"RBD"
"poisson","1","6","69.2307692307692",1.6,"RBD"
"RBD","1","5","70.8791208791209",1.6,"RBD"
"RBD","1","6","70.3296703296703",1.6,"RBD"
"best","2","5","65.9340659340659",1.6,"RBD"
"best","2","6","64.8351648351648",1.6,"RBD"
"poisson","2","5","65.9340659340659",1.6,"RBD"
"poisson","2","6","64.2857142857143",1.6,"RBD"
"RBD","2","5","64.8351648351648",1.6,"RBD"
"RBD","2","6","66.4835164835165",1.6,"RBD"
"best","3","5","64.8351648351648",1.6,"RBD"
"best","3","6","68.1318681318681",1.6,"RBD"
"poisson","3","5","64.8351648351648",1.6,"RBD"
"poisson","3","6","66.4835164835165",1.6,"RBD"
"RBD","3","5","65.3846153846154",1.6,"RBD"
"RBD","3","6","71.4285714285714",1.6,"RBD"
"best","4","5","71.978021978022",1.6,"RBD"
"best","4","6","70.3296703296703",1.6,"RBD"
"poisson","4","5","68.6813186813187",1.6,"RBD"
"poisson","4","6","70.3296703296703",1.6,"RBD"
"RBD","4","5","72.5274725274725",1.6,"RBD"
"RBD","4","6","68.1318681318681",1.6,"RBD"
"best","5","5","68.1318681318681",1.6,"RBD"
"best","5","6","71.4285714285714",1.6,"RBD"
"poisson","5","5","68.6813186813187",1.6,"RBD"
"poisson","5","6","72.5274725274725",1.6,"RBD"
"RBD","5","5","69.7802197802198",1.6,"RBD"
"RBD","5","6","73.6263736263736",1.6,"RBD"
"best","6","5","69.2307692307692",1.6,"RBD"
"best","6","6","70.8791208791209",1.6,"RBD"
"poisson","6","5","66.4835164835165",1.6,"RBD"
"poisson","6","6","69.7802197802198",1.6,"RBD"
"RBD","6","5","69.2307692307692",1.6,"RBD"
"RBD","6","6","70.8791208791209",1.6,"RBD"
"best","7","5","69.2307692307692",1.6,"RBD"
"best","7","6","65.3846153846154",1.6,"RBD"
"poisson","7","5","68.1318681318681",1.6,"RBD"
"poisson","7","6","66.4835164835165",1.6,"RBD"
"RBD","7","5","71.4285714285714",1.6,"RBD"
"RBD","7","6","66.4835164835165",1.6,"RBD"
"best","8","5","64.8351648351648",1.6,"RBD"
"best","8","6","66.4835164835165",1.6,"RBD"
"poisson","8","5","63.1868131868132",1.6,"RBD"
"poisson","8","6","65.3846153846154",1.6,"RBD"
"RBD","8","5","64.2857142857143",1.6,"RBD"
"RBD","8","6","65.9340659340659",1.6,"RBD"
"best","9","5","68.1318681318681",1.6,"RBD"
"best","9","6","62.0879120879121",1.6,"RBD"
"poisson","9","5","66.4835164835165",1.6,"RBD"
"poisson","9","6","62.0879120879121",1.6,"RBD"
"RBD","9","5","68.1318681318681",1.6,"RBD"
"RBD","9","6","61.5384615384615",1.6,"RBD"
"best","10","5","64.8351648351648",1.6,"RBD"
"best","10","6","66.4835164835165",1.6,"RBD"
"poisson","10","5","64.2857142857143",1.6,"RBD"
"poisson","10","6","64.8351648351648",1.6,"RBD"
"RBD","10","5","63.7362637362637",1.6,"RBD"
"RBD","10","6","66.4835164835165",1.6,"RBD"
"best","11","5","68.6813186813187",1.6,"RBD"
"best","11","6","68.6813186813187",1.6,"RBD"
"poisson","11","5","68.1318681318681",1.6,"RBD"
"poisson","11","6","68.1318681318681",1.6,"RBD"
"RBD","11","5","68.6813186813187",1.6,"RBD"
"RBD","11","6","70.3296703296703",1.6,"RBD"
"best","12","5","66.4835164835165",1.6,"RBD"
"best","12","6","69.7802197802198",1.6,"RBD"
"poisson","12","5","64.8351648351648",1.6,"RBD"
"poisson","12","6","70.8791208791209",1.6,"RBD"
"RBD","12","5","67.5824175824176",1.6,"RBD"
"RBD","12","6","70.8791208791209",1.6,"RBD"
"best","13","5","68.1318681318681",1.6,"RBD"
"best","13","6","66.4835164835165",1.6,"RBD"
"poisson","13","5","65.3846153846154",1.6,"RBD"
"poisson","13","6","66.4835164835165",1.6,"RBD"
"RBD","13","5","68.1318681318681",1.6,"RBD"
"RBD","13","6","65.3846153846154",1.6,"RBD"
"best","14","5","68.6813186813187",1.6,"RBD"
"best","14","6","70.8791208791209",1.6,"RBD"
"poisson","14","5","70.8791208791209",1.6,"RBD"
"poisson","14","6","68.6813186813187",1.6,"RBD"
"RBD","14","5","71.978021978022",1.6,"RBD"
"RBD","14","6","70.8791208791209",1.6,"RBD"
"best","15","5","66.4835164835165",1.6,"RBD"
"best","15","6","63.7362637362637",1.6,"RBD"
"poisson","15","5","64.2857142857143",1.6,"RBD"
"poisson","15","6","62.0879120879121",1.6,"RBD"
"RBD","15","5","65.9340659340659",1.6,"RBD"
"RBD","15","6","64.8351648351648",1.6,"RBD"
"best","16","5","68.1318681318681",1.6,"RBD"
"best","16","6","68.1318681318681",1.6,"RBD"
"poisson","16","5","70.3296703296703",1.6,"RBD"
"poisson","16","6","69.2307692307692",1.6,"RBD"
"RBD","16","5","69.2307692307692",1.6,"RBD"
"RBD","16","6","69.2307692307692",1.6,"RBD"
"best","17","5","64.8351648351648",1.6,"RBD"
"best","17","6","68.6813186813187",1.6,"RBD"
"poisson","17","5","63.7362637362637",1.6,"RBD"
"poisson","17","6","70.3296703296703",1.6,"RBD"
"RBD","17","5","63.7362637362637",1.6,"RBD"
"RBD","17","6","72.5274725274725",1.6,"RBD"
"best","18","5","63.1868131868132",1.6,"RBD"
"best","18","6","67.5824175824176",1.6,"RBD"
"poisson","18","5","64.2857142857143",1.6,"RBD"
"poisson","18","6","67.032967032967",1.6,"RBD"
"RBD","18","5","64.8351648351648",1.6,"RBD"
"RBD","18","6","67.5824175824176",1.6,"RBD"
"best","19","5","63.1868131868132",1.6,"RBD"
"best","19","6","62.6373626373626",1.6,"RBD"
"poisson","19","5","62.6373626373626",1.6,"RBD"
"poisson","19","6","59.8901098901099",1.6,"RBD"
"RBD","19","5","63.7362637362637",1.6,"RBD"
"RBD","19","6","62.6373626373626",1.6,"RBD"
"best","20","5","71.978021978022",1.6,"RBD"
"best","20","6","69.7802197802198",1.6,"RBD"
"poisson","20","5","71.4285714285714",1.6,"RBD"
"poisson","20","6","70.3296703296703",1.6,"RBD"
"RBD","20","5","73.0769230769231",1.6,"RBD"
"RBD","20","6","73.0769230769231",1.6,"RBD"
"best","21","5","70.3296703296703",1.6,"RBD"
"best","21","6","65.3846153846154",1.6,"RBD"
"poisson","21","5","70.8791208791209",1.6,"RBD"
"poisson","21","6","66.4835164835165",1.6,"RBD"
"RBD","21","5","71.4285714285714",1.6,"RBD"
"RBD","21","6","63.7362637362637",1.6,"RBD"
"best","22","5","71.4285714285714",1.6,"RBD"
"best","22","6","68.6813186813187",1.6,"RBD"
"poisson","22","5","70.3296703296703",1.6,"RBD"
"poisson","22","6","67.5824175824176",1.6,"RBD"
"RBD","22","5","70.3296703296703",1.6,"RBD"
"RBD","22","6","69.2307692307692",1.6,"RBD"
"best","23","5","68.1318681318681",1.6,"RBD"
"best","23","6","68.6813186813187",1.6,"RBD"
"poisson","23","5","68.1318681318681",1.6,"RBD"
"poisson","23","6","69.2307692307692",1.6,"RBD"
"RBD","23","5","68.6813186813187",1.6,"RBD"
"RBD","23","6","70.8791208791209",1.6,"RBD"
"best","24","5","63.1868131868132",1.6,"RBD"
"best","24","6","67.032967032967",1.6,"RBD"
"poisson","24","5","60.4395604395604",1.6,"RBD"
"poisson","24","6","67.032967032967",1.6,"RBD"
"RBD","24","5","64.8351648351648",1.6,"RBD"
