"bin_midpoint","model","prop_true","total_elements","prop_correct","blens"
0.025,"H1",10451,1160999,0.00900173040631387,0.8
0.075,"H1",6032,86384,0.0698277458788665,0.8
0.125,"H1",4862,39359,0.123529561218527,0.8
0.175,"H1",4052,22680,0.178659611992945,0.8
0.225,"H1",3235,14591,0.221712014255363,0.8
0.275,"H1",2809,10263,0.273701646692,0.8
0.325,"H1",2543,7816,0.3253582395087,0.8
0.375,"H1",2470,6617,0.37328094302554,0.8
0.425,"H1",2363,5561,0.424923574896601,0.8
0.475,"H1",2273,4853,0.468370080362662,0.8
0.525,"H1",2138,4104,0.520955165692008,0.8
0.575,"H1",2142,3752,0.57089552238806,0.8
0.625,"H1",2199,3536,0.621889140271493,0.8
0.675,"H1",2609,3847,0.678190798024435,0.8
0.725,"H1",3257,4474,0.727983907018328,0.8
0.775,"H1",4543,5887,0.771700356718193,0.8
0.825,"H1",6041,7299,0.82764762296205,0.8
0.875,"H1",6675,7626,0.875295043273013,0.8
0.925,"H1",7377,7955,0.927341294783155,0.8
0.975,"H1",31817,32402,0.981945558916116,0.8
0.025,"H3",11314,1034408,0.010937657094686,0.8
0.075,"H3",6669,89857,0.0742179240348554,0.8
0.125,"H3",4888,38143,0.128149332774035,0.8
0.175,"H3",3765,21301,0.176752265151871,0.8
0.225,"H3",2902,12653,0.229352722674465,0.8
0.275,"H3",2612,9448,0.276460626587638,0.8
0.325,"H3",2398,7483,0.320459708672992,0.8
0.375,"H3",2329,6214,0.374798841326038,0.8
0.425,"H3",2309,5351,0.431508129321622,0.8
0.475,"H3",2041,4388,0.465132178669098,0.8
0.525,"H3",1684,3366,0.500297088532383,0.8
0.575,"H3",1758,3147,0.55862726406101,0.8
0.625,"H3",2119,3528,0.60062358276644,0.8
0.675,"H3",2177,3430,0.63469387755102,0.8
0.725,"H3",2525,3639,0.69387194284144,0.8
0.775,"H3",2990,4064,0.735728346456693,0.8
0.825,"H3",4610,5806,0.79400620048226,0.8
0.875,"H3",6530,7829,0.83407842636352,0.8
0.925,"H3",8330,9446,0.881854753334745,0.8
0.975,"H3",35734,36666,0.974581356024655,0.8
0.025,"best",11648,905305,0.0128663820480391,0.8
0.075,"best",6040,88503,0.0682462741375999,0.8
0.125,"best",4651,39738,0.117041622628215,0.8
0.175,"best",3886,23317,0.166659518806021,0.8
0.225,"best",3379,15534,0.217522853096434,0.8
0.275,"best",2929,10734,0.272871250232905,0.8
0.325,"best",2629,7982,0.329366073665748,0.8
0.375,"best",2309,6145,0.375752644426363,0.8
0.425,"best",2092,4954,0.422285022204279,0.8
0.475,"best",1911,4084,0.4679236043095,0.8
0.525,"best",1965,3827,0.513457015939378,0.8
0.575,"best",1923,3578,0.53745108999441,0.8
0.625,"best",1958,3265,0.599693721286371,0.8
0.675,"best",2068,3195,0.647261345852895,0.8
0.725,"best",2230,3155,0.706814580031696,0.8
0.775,"best",2925,3926,0.745033112582781,0.8
0.825,"best",3860,4900,0.787755102040816,0.8
0.875,"best",6163,7489,0.822940312458272,0.8
0.925,"best",8081,9356,0.863723813595554,0.8
0.975,"best",36660,37758,0.970920069918958,0.8
0.025,"poisson",19929,1474698,0.013513953365367,0.8
0.075,"poisson",3042,34824,0.0873535492763611,0.8
0.125,"poisson",2720,16090,0.169049098819142,0.8
0.175,"poisson",5282,22540,0.234338952972493,0.8
0.225,"poisson",4601,20070,0.229247633283508,0.8
0.275,"poisson",3653,14762,0.247459693808427,0.8
0.375,"poisson",1966,4516,0.435341009743135,0.8
0.425,"poisson",65,160,0.40625,0.8
0.525,"poisson",140,280,0.5,0.8
0.575,"poisson",8258,15810,0.522327640733713,0.8
0.825,"poisson",5746,7516,0.764502394890899,0.8
0.925,"poisson",3587,4512,0.794991134751773,0.8
0.975,"poisson",50579,54616,0.92608393144866,0.8
