"bin_midpoint","model","prop_true","total_elements","prop_correct","blens"
0.025,"RBD",15796,1858346,0.00850003174866252,0.8
0.075,"RBD",8227,119732,0.068711789663582,0.8
0.125,"RBD",5712,48224,0.118447246184472,0.8
0.175,"RBD",4591,26994,0.170074831444025,0.8
0.225,"RBD",3803,17764,0.214084665615852,0.8
0.275,"RBD",3356,12528,0.267879948914432,0.8
0.325,"RBD",2876,9011,0.31916546443236,0.8
0.375,"RBD",2640,7452,0.35426731078905,0.8
0.425,"RBD",2721,6418,0.423963851667186,0.8
0.475,"RBD",2808,5951,0.471853470005041,0.8
0.525,"RBD",2581,5011,0.515066852923568,0.8
0.575,"RBD",2654,4514,0.587948604342047,0.8
0.625,"RBD",2774,4421,0.627459850712508,0.8
0.675,"RBD",3260,4827,0.675367723223534,0.8
0.725,"RBD",4262,5840,0.729794520547945,0.8
0.775,"RBD",5379,6909,0.778549717759444,0.8
0.825,"RBD",7444,8961,0.830710858163151,0.8
0.875,"RBD",8880,10118,0.877643803123147,0.8
0.925,"RBD",9328,10072,0.926131850675139,0.8
0.975,"RBD",82628,83750,0.986602985074627,0.8
0.025,"best",19402,1403895,0.0138201218752115,0.8
0.075,"best",8562,125720,0.0681037225580655,0.8
0.125,"best",5417,43709,0.123933286050928,0.8
0.175,"best",4354,23861,0.182473492309627,0.8
0.225,"best",3499,15017,0.233002597056669,0.8
0.275,"best",2940,10208,0.288009404388715,0.8
0.325,"best",2495,7425,0.336026936026936,0.8
0.375,"best",2239,5746,0.38966237382527,0.8
0.425,"best",2037,4628,0.440146931719965,0.8
0.475,"best",2087,4446,0.469410706252812,0.8
0.525,"best",2022,4056,0.498520710059172,0.8
0.575,"best",1817,3228,0.562887236679058,0.8
0.625,"best",1767,3099,0.570183930300097,0.8
0.675,"best",1909,2978,0.641034251175285,0.8
0.725,"best",1770,2597,0.681555641124374,0.8
0.775,"best",1752,2477,0.70730722648365,0.8
0.825,"best",2868,3828,0.749216300940439,0.8
0.875,"best",7805,9906,0.787906319402382,0.8
0.925,"best",12867,15378,0.836714787358564,0.8
0.975,"best",92988,95674,0.97192549700023,0.8
0.025,"poisson",27321,1901234,0.014370140656016,0.8
0.075,"poisson",6066,56112,0.108105218135158,0.8
0.125,"poisson",2444,12294,0.198796160728811,0.8
0.175,"poisson",6098,28952,0.210624481901078,0.8
0.225,"poisson",6136,27342,0.224416648379782,0.8
0.325,"poisson",270,640,0.421875,0.8
0.375,"poisson",2347,5536,0.423952312138728,0.8
0.425,"poisson",22,34,0.647058823529412,0.8
0.475,"poisson",3684,7556,0.487559555320275,0.8
0.525,"poisson",5949,12024,0.494760479041916,0.8
0.725,"poisson",102,136,0.75,0.8
0.775,"poisson",5417,7324,0.739623156744948,0.8
0.825,"poisson",1213,1654,0.733373639661427,0.8
0.975,"poisson",114036,121634,0.937533913215055,0.8
