"bin_midpoint","model","prop_true","total_elements","prop_correct","blens"
0.025,"ER",14344,1248136,0.0114923373734914,0.8
0.075,"ER",8123,119654,0.0678874086950708,0.8
0.125,"ER",6082,52793,0.115204667285436,0.8
0.175,"ER",4960,30444,0.162922086453817,0.8
0.225,"ER",4360,20302,0.214757166781598,0.8
0.275,"ER",3779,14400,0.262430555555556,0.8
0.325,"ER",3102,9908,0.313080339119903,0.8
0.375,"ER",2599,7284,0.356809445359693,0.8
0.425,"ER",2540,6277,0.404651903775689,0.8
0.475,"ER",2943,6467,0.455079635070357,0.8
0.525,"ER",2849,5600,0.50875,0.8
0.575,"ER",2442,4295,0.568568102444703,0.8
0.625,"ER",2557,4109,0.622292528595765,0.8
0.675,"ER",3292,4782,0.688414889167712,0.8
0.725,"ER",4837,6557,0.737684916882721,0.8
0.775,"ER",5343,6855,0.779431072210066,0.8
0.825,"ER",6169,7411,0.832411280528943,0.8
0.875,"ER",7127,8120,0.877709359605911,0.8
0.925,"ER",8454,9109,0.928093094741465,0.8
0.975,"ER",55782,56482,0.987606671151871,0.8
0.025,"best",17326,1170291,0.0148048647729496,0.8
0.075,"best",7545,107684,0.0700661193863527,0.8
0.125,"best",5590,48091,0.116237965523695,0.8
0.175,"best",4643,28735,0.161579954759005,0.8
0.225,"best",3925,19526,0.201014032571955,0.8
0.275,"best",3349,13414,0.249664529595945,0.8
0.325,"best",2740,9322,0.293928341557606,0.8
0.375,"best",2457,7101,0.346007604562738,0.8
0.425,"best",2354,5961,0.394900184532797,0.8
0.475,"best",2460,5529,0.444926749864352,0.8
0.525,"best",2406,4908,0.490220048899756,0.8
0.575,"best",2079,3847,0.540421107356382,0.8
0.625,"best",1993,3373,0.590868662911355,0.8
0.675,"best",1991,3178,0.626494650723726,0.8
0.725,"best",2693,3946,0.682463253928028,0.8
0.775,"best",3169,4288,0.739039179104478,0.8
0.825,"best",4100,5333,0.768798049878117,0.8
0.875,"best",6164,7663,0.804384705728827,0.8
0.925,"best",8899,10548,0.843667045885476,0.8
0.975,"best",65032,66887,0.97226665869302,0.8
0.025,"kSR",16283,1378009,0.0118163234057252,0.8
0.075,"kSR",8647,118655,0.0728751422190384,0.8
0.125,"kSR",5953,49616,0.119981457594324,0.8
0.175,"kSR",4619,26812,0.172273608831866,0.8
0.225,"kSR",3732,16673,0.223834942721766,0.8
0.275,"kSR",3095,11530,0.268430182133565,0.8
0.325,"kSR",2634,8356,0.315222594542843,0.8
0.375,"kSR",2391,6743,0.354589945128281,0.8
0.425,"kSR",2464,6024,0.409030544488712,0.8
0.475,"kSR",2513,5653,0.444542720679285,0.8
0.525,"kSR",2188,4503,0.48589829002887,0.8
0.575,"kSR",1940,3758,0.516232038318254,0.8
0.625,"kSR",2093,3702,0.565370070232307,0.8
0.675,"kSR",2388,3776,0.632415254237288,0.8
0.725,"kSR",3231,4710,0.685987261146497,0.8
0.775,"kSR",4011,5463,0.734211971444261,0.8
0.825,"kSR",5504,7047,0.781041577976444,0.8
0.875,"kSR",7498,9012,0.832001775410564,0.8
0.925,"kSR",8196,9335,0.877986073915372,0.8
0.975,"kSR",62063,63356,0.979591514615822,0.8
0.025,"poisson",26857,1733754,0.0154906636120234,0.8
0.075,"poisson",4824,51708,0.0932931074495243,0.8
0.125,"poisson",2203,12550,0.175537848605578,0.8
0.175,"poisson",9035,43576,0.207338902147971,0.8
0.225,"poisson",5380,23103,0.232870190018612,0.8
0.275,"poisson",159,648,0.24537037037037,0.8
0.325,"poisson",23,68,0.338235294117647,0.8
0.375,"poisson",3357,7616,0.44078256302521,0.8
0.425,"poisson",7,16,0.4375,0.8
0.475,"poisson",491,1062,0.462335216572505,0.8
0.525,"poisson",7511,15956,0.470732013035849,0.8
0.575,"poisson",397,844,0.470379146919431,0.8
0.725,"poisson",3,5,0.6,0.8
0.775,"poisson",1523,2110,0.721800947867299,0.8
0.825,"poisson",4193,5777,0.725809243552017,0.8
0.875,"poisson",10,13,0.769230769230769,0.8
0.925,"poisson",15,20,0.75,0.8
0.975,"poisson",85333,91956,0.927976423506895,0.8
